transaction_id,customer_id,amount,date
0,22,641380.12101019,2025-10-01
1,27,85206.052908709,2025-10-01
2,9,908263.08446155,2025-10-01
3,13,71062.472207496,2025-10-01
4,32,323185.94862689,2025-10-01
5,8,168047.0483379,2025-10-01
6,15,140832.25969787,2025-10-01
7,14,734740.22150136,2025-10-01
8,34,562572.4496048,2025-10-01
9,11,711965.84788157,2025-10-01
10,4,46916.88136929,2025-10-01
11,32,21165.168168636,2025-10-01
12,44,545335.56731758,2025-10-01
13,16,740032.91621174,2025-10-01
14,12,22408.568695406,2025-10-01
15,10,392624.62584763,2025-10-01
16,23,785699.02661726,2025-10-01
17,11,621822.7809281,2025-10-01
18,23,974874.49252346,2025-10-01
19,27,738488.97065094,2025-10-01
20,46,468500.61204521,2025-10-01
21,13,915648.77720665,2025-10-01
22,47,590697.17693598,2025-10-01
23,46,40229.711754401,2025-10-01
24,31,61086.966314622,2025-10-01
25,16,206209.49235653,2025-10-01
26,2,873561.30785819,2025-10-01
27,47,664833.25529277,2025-10-01
28,24,353910.0369294,2025-10-01
29,31,703549.63698903,2025-10-01
30,12,211534.68105227,2025-10-01
31,24,162057.15156516,2025-10-01
32,50,404496.40055876,2025-10-01
33,29,699590.78217062,2025-10-01
34,11,469448.77090131,2025-10-01
35,24,625641.72082993,2025-10-01
36,17,415463.4263219,2025-10-01
37,15,204230.36180342,2025-10-01
38,18,443765.19211324,2025-10-01
39,36,847579.56586974,2025-10-01
40,13,122889.07502076,2025-10-01
41,30,730731.69509013,2025-10-01
42,50,501844.21354107,2025-10-01
43,32,103954.16465316,2025-10-01
44,49,226477.83516654,2025-10-01
45,11,877887.64259173,2025-10-01
46,29,953886.2613257,2025-10-01
47,45,183981.95049418,2025-10-01
48,23,647195.84543932,2025-10-01
49,4,693457.58981417,2025-10-01
50,19,881193.4214358,2025-10-01
51,15,151915.2092823,2025-10-01
52,48,597303.43731428,2025-10-01
53,21,592838.63539062,2025-10-01
54,38,259193.51126835,2025-10-01
55,35,528607.76274514,2025-10-01
56,3,35556.720338942,2025-10-01
57,13,786351.41854202,2025-10-01
58,22,280499.06091765,2025-10-01
59,22,777196.81965509,2025-10-01
60,24,414120.05723263,2025-10-01
61,16,855731.3839121,2025-10-01
62,2,254483.85824068,2025-10-01
63,33,146736.79555662,2025-10-01
64,43,138594.1272014,2025-10-01
65,4,621197.04877677,2025-10-01
66,47,394308.00343908,2025-10-01
67,31,861919.20943277,2025-10-01
68,43,240490.09930087,2025-10-01
69,36,99227.46067664,2025-10-01
70,1,124381.06261469,2025-10-01
71,31,484259.6603718,2025-10-01
72,16,836625.25579223,2025-10-01
73,2,872119.52084301,2025-10-01
74,12,500165.4659735,2025-10-01
75,16,369572.04800198,2025-10-01
76,46,524342.29119588,2025-10-01
77,8,482576.8941875,2025-10-01
78,24,981968.94591664,2025-10-01
79,29,104206.95008051,2025-10-01
80,38,491236.6220778,2025-10-01
81,3,631442.5633388,2025-10-01
82,23,724956.41806161,2025-10-01
83,50,791918.12377463,2025-10-01
84,23,48121.451255265,2025-10-01
85,20,500104.73084478,2025-10-01
86,43,283373.63706493,2025-10-01
87,50,912324.14625388,2025-10-01
88,6,734527.54447661,2025-10-01
89,1,799313.88122216,2025-10-01
90,25,124318.76241404,2025-10-01
91,39,674118.87784857,2025-10-01
92,38,400556.81740567,2025-10-01
93,20,503423.19976336,2025-10-01
94,13,416291.61666321,2025-10-01
95,2,534385.44256187,2025-10-01
96,42,654565.50842056,2025-10-01
97,5,26641.094572372,2025-10-01
98,23,77459.968008054,2025-10-01
99,19,623008.84096299,2025-10-01
100,41,528412.20325814,2025-10-01
101,13,229979.27920166,2025-10-01
102,27,319845.74611638,2025-10-01
103,25,143411.28870373,2025-10-01
104,33,870111.5312202,2025-10-01
105,8,39681.530524046,2025-10-01
106,10,54069.682469633,2025-10-01
107,7,330936.43584533,2025-10-01
108,14,628081.96320523,2025-10-01
109,42,506707.76934485,2025-10-01
110,38,574112.26561993,2025-10-01
111,7,448022.12351989,2025-10-01
112,13,19455.758508884,2025-10-01
113,14,701030.41040165,2025-10-01
114,46,881596.67402463,2025-10-01
115,44,924223.14837388,2025-10-01
116,41,3613.0577624929,2025-10-01
117,34,581088.77470768,2025-10-01
118,13,367161.19833889,2025-10-01
119,23,358268.69056141,2025-10-01
120,9,271975.79416869,2025-10-01
121,47,650135.49989471,2025-10-01
122,7,406880.7431838,2025-10-01
123,6,11121.554871267,2025-10-01
124,34,953614.64986642,2025-10-01
125,42,323584.06409177,2025-10-01
126,7,410115.08517846,2025-10-01
127,38,523200.21289543,2025-10-01
128,49,408037.63634996,2025-10-01
129,3,427223.26788906,2025-10-01
130,41,219699.16542065,2025-10-01
131,24,815961.3446591,2025-10-01
132,13,458759.50885286,2025-10-01
133,14,494259.98622876,2025-10-01
134,18,595603.8534751,2025-10-01
135,35,568943.46397842,2025-10-01
136,11,887754.57086232,2025-10-01
137,13,814124.13879659,2025-10-01
138,22,271750.81216747,2025-10-01
139,6,48534.969244527,2025-10-01
140,39,367238.68034267,2025-10-01
141,48,245679.07225631,2025-10-01
142,13,113016.3483938,2025-10-01
143,4,337895.36173871,2025-10-01
144,15,196187.32347832,2025-10-01
145,38,698724.32277041,2025-10-01
146,26,759010.5906217,2025-10-01
147,30,125616.46176357,2025-10-01
148,5,768765.54057963,2025-10-01
149,36,579098.28958329,2025-10-01
150,40,799941.17378885,2025-10-01
151,34,941963.17078818,2025-10-01
152,25,410990.74409107,2025-10-01
153,38,595269.8556687,2025-10-01
154,34,297640.12690256,2025-10-01
155,48,312823.60500707,2025-10-01
156,9,252147.60211329,2025-10-01
157,38,588514.51019779,2025-10-01
158,10,770300.11573205,2025-10-01
159,16,735158.23726802,2025-10-01
160,1,438852.83083797,2025-10-01
161,23,637964.33777192,2025-10-01
162,40,650370.33053368,2025-10-01
163,42,405810.53246514,2025-10-01
164,47,697260.82963704,2025-10-01
165,20,618616.17251106,2025-10-01
166,17,96857.774128401,2025-10-01
167,13,5905.5710372913,2025-10-01
168,23,444183.6716739,2025-10-01
169,21,32886.724378921,2025-10-01
170,29,959917.31376278,2025-10-01
171,50,534093.90798364,2025-10-01
172,42,89054.696581375,2025-10-01
173,25,249478.29020286,2025-10-01
174,13,390273.30665954,2025-10-01
175,42,213788.68266107,2025-10-01
176,5,568418.63449679,2025-10-01
177,8,460710.36101008,2025-10-01
178,39,603338.22571452,2025-10-01
179,17,13975.843756104,2025-10-01
180,41,418358.53932356,2025-10-01
181,17,101129.29502295,2025-10-01
182,3,927633.53651443,2025-10-01
183,3,264419.1630653,2025-10-01
184,20,270692.93436468,2025-10-01
185,23,476057.83034162,2025-10-01
186,45,889207.1969669,2025-10-01
187,27,999979.4342749,2025-10-01
188,30,458433.72383246,2025-10-01
189,8,688649.716299,2025-10-01
190,12,339721.82257446,2025-10-01
191,36,896742.4483774,2025-10-01
192,24,468772.41488936,2025-10-01
193,4,195128.32064911,2025-10-01
194,34,781577.11886993,2025-10-01
195,23,53291.766280821,2025-10-01
196,12,334265.25351687,2025-10-01
197,39,137064.71338707,2025-10-01
198,32,948162.88964486,2025-10-01
199,41,369767.74113244,2025-10-01
200,19,624701.81527196,2025-10-01
201,29,513269.13995828,2025-10-01
202,5,891872.06977266,2025-10-01
203,14,935672.19673588,2025-10-01
204,25,205225.15710242,2025-10-01
205,32,805760.37946695,2025-10-01
206,5,890480.32873824,2025-10-01
207,35,526526.16025949,2025-10-01
208,47,708869.35189108,2025-10-01
209,50,363256.53198261,2025-10-01
210,17,330497.42036159,2025-10-01
211,50,308435.00453147,2025-10-01
212,26,263827.50161269,2025-10-01
213,14,292479.85050265,2025-10-01
214,25,386749.90970821,2025-10-01
215,42,104731.20913276,2025-10-01
216,2,621526.91155229,2025-10-01
217,32,811910.04489238,2025-10-01
218,29,944157.84541391,2025-10-01
219,7,210979.51543811,2025-10-01
220,32,367637.91897135,2025-10-01
221,39,132331.53911166,2025-10-01
222,42,927905.01619288,2025-10-01
223,28,523828.41768346,2025-10-01
224,14,698379.59623523,2025-10-01
225,36,130297.0596801,2025-10-01
226,26,937266.97197755,2025-10-01
227,46,851575.01990238,2025-10-01
228,15,847203.45594027,2025-10-01
229,47,566999.91750808,2025-10-01
230,35,300850.81028077,2025-10-01
231,16,581128.09102835,2025-10-01
232,35,321755.94924366,2025-10-01
233,31,848620.13335294,2025-10-01
234,14,499815.95528209,2025-10-01
235,18,163438.89914263,2025-10-01
236,33,358941.26683849,2025-10-01
237,18,127349.68230949,2025-10-01
238,10,31213.026857508,2025-10-01
239,34,871431.78557997,2025-10-01
240,13,916387.60757483,2025-10-01
241,50,426237.46535092,2025-10-01
242,20,966804.8344714,2025-10-01
243,41,675608.08035019,2025-10-01
244,44,812506.49655475,2025-10-01
245,46,559150.44100304,2025-10-01
246,4,993551.3951246,2025-10-01
247,2,789749.19111311,2025-10-01
248,37,777729.05540543,2025-10-01
249,34,380213.45544979,2025-10-01
250,37,536285.81893727,2025-10-01
251,34,318365.77339484,2025-10-01
252,37,724561.75776893,2025-10-01
253,23,186927.79538881,2025-10-01
254,13,672915.61645773,2025-10-01
255,47,999817.84583609,2025-10-01
256,39,633762.46001743,2025-10-01
257,50,907338.64941382,2025-10-01
258,10,730758.03216352,2025-10-01
259,20,94788.760204114,2025-10-01
260,44,175845.38084385,2025-10-01
261,30,81238.84793559,2025-10-01
262,32,572865.10864111,2025-10-01
263,7,176176.1902993,2025-10-01
264,36,193796.32289477,2025-10-01
265,32,569153.31865833,2025-10-01
266,38,295492.73039456,2025-10-01
267,41,255191.18554081,2025-10-01
268,24,333974.83372061,2025-10-01
269,14,715686.94913435,2025-10-01
270,23,543836.8374813,2025-10-01
271,26,663115.15694595,2025-10-01
272,36,534298.36616886,2025-10-01
273,15,461963.43462205,2025-10-01
274,16,741745.3987396,2025-10-01
275,14,21602.036043998,2025-10-01
276,8,864390.78677408,2025-10-01
277,35,559087.59877807,2025-10-01
278,47,68561.93893991,2025-10-01
279,36,608171.90638583,2025-10-01
280,11,96140.792834997,2025-10-01
281,40,785049.97671014,2025-10-01
282,8,696066.70442929,2025-10-01
283,26,518835.80421311,2025-10-01
284,38,894178.38045344,2025-10-01
285,6,180620.30542713,2025-10-01
286,30,360256.92190771,2025-10-01
287,8,284881.81973083,2025-10-01
288,42,182105.09303823,2025-10-01
289,27,297208.35610468,2025-10-01
290,5,9181.8482055058,2025-10-01
291,47,619437.14144934,2025-10-01
292,41,737411.88404646,2025-10-01
293,23,103777.42048799,2025-10-01
294,30,302299.22964334,2025-10-01
295,47,45344.120510507,2025-10-01
296,28,439529.89325103,2025-10-01
297,5,863039.01165131,2025-10-01
298,29,725620.3079799,2025-10-01
299,40,719794.93421406,2025-10-01
300,24,159991.85171817,2025-10-01
301,22,795899.91264778,2025-10-01
302,34,216480.10301702,2025-10-01
303,40,668517.40482926,2025-10-01
304,39,94605.922921927,2025-10-01
305,21,225145.79969402,2025-10-01
306,47,265168.79713297,2025-10-01
307,25,299656.85084679,2025-10-01
308,2,767200.53290375,2025-10-01
309,41,909487.599818,2025-10-01
310,9,775317.38991191,2025-10-01
311,50,496689.44213386,2025-10-01
312,19,44193.165863358,2025-10-01
313,4,465962.30750566,2025-10-01
314,43,303974.6854842,2025-10-01
315,1,520758.82593613,2025-10-01
316,21,164997.49705499,2025-10-01
317,20,536323.82629714,2025-10-01
318,37,149188.92242045,2025-10-01
319,36,606843.67486232,2025-10-01
320,17,480814.83319815,2025-10-01
321,9,943658.56883991,2025-10-01
322,50,623921.09024235,2025-10-01
323,38,68333.55345437,2025-10-01
324,33,608973.13567387,2025-10-01
325,20,272620.77423686,2025-10-01
326,11,490127.18304758,2025-10-01
327,21,274030.40393642,2025-10-01
328,9,593137.19486479,2025-10-01
329,41,371635.46752751,2025-10-01
330,34,159445.43299816,2025-10-01
331,9,566845.5043723,2025-10-01
332,26,164087.06802741,2025-10-01
333,2,820350.3940277,2025-10-01
334,48,845021.11842131,2025-10-01
335,40,541327.76174282,2025-10-01
336,38,64653.980391256,2025-10-01
337,24,256519.04779861,2025-10-01
338,44,680341.38035289,2025-10-01
339,17,750480.89268901,2025-10-01
340,19,503946.82040037,2025-10-01
341,29,274168.42828707,2025-10-01
342,25,874894.33331671,2025-10-01
343,38,97710.985597461,2025-10-01
344,21,143396.47476933,2025-10-01
345,39,56324.771852319,2025-10-01
346,30,38007.100990409,2025-10-01
